2026-09-07 11:29:45 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/app-nolayers/aspnet-core
2026-09-07 11:29:55 INFO     [static_analyzer.engine.adapters.csharp_adapter:367] dotnet restore completed for MyCompanyName.MyProjectName.slnx
2026-09-07 11:29:55 INFO     [static_analyzer:414] CSharp LSP start: 10.6s
2026-09-07 11:29:55 INFO     [static_analyzer.engine.language_adapter:284] Found 4 CSharp files in /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/console
2026-09-07 11:29:55 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/console
2026-09-07 11:29:57 INFO     [static_analyzer.engine.adapters.csharp_adapter:367] dotnet restore completed for MyCompanyName.MyProjectName.slnx
2026-09-07 11:29:57 INFO     [static_analyzer:414] CSharp LSP start: 2.1s
2026-09-07 11:29:57 INFO     [static_analyzer.engine.language_adapter:284] Found 14 CSharp files in /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/maui
2026-09-07 11:29:57 INFO     [static_analyzer:392] Starting engine LSP client for CSharp at /Users/svilen/Documents/Projects/ReposForTesting/abp/templates/maui
2026-09-07 11:29:59 WARNING  [static_analyzer.engine.adapters.csharp_adapter:360] dotnet restore failed for MyCompanyName.MyProjectName.slnx (exit 1): /abp/templates/maui/src/MyCompanyName.MyProjectName/MyCompanyName.MyProjectName.csproj::TargetFramework=net10.0]
/Users/svilen/.codeboarding/dotnet/sdk/10.0.400/Sdks/Microsoft.NET.Sdk/targets/Microsoft.NET.Sdk.ImportWorkloads.targets(38,5): error NETSDK1147: To install these workloads, run the following command: dotnet workload restore [/Users/svilen/Documents/Projects/ReposForTesting/abp/templates/maui/src/MyCompanyName.MyProjectName/MyCompanyName.MyProjectName.csproj::TargetFramework=net10.0]

2026-09-07 11:29:59 INFO     [static_analyzer:414] CSharp LSP start: 2.0s
